#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1755241472973454592,0.000151122,0.519601,-0.187746,0.29567,0.584451,0.180303,0.733817,-0.279956,0.396201,-0.187909,0.0115379,-0.0364444,0.0209322,-0.0695064,-0.120286,0.383922
1755241472983454464,-0.00254329,0.523803,-0.189833,0.302839,0.586818,0.169624,0.731547,-0.259306,0.443719,-0.228327,0.011536,-0.0364451,0.0209301,-0.0695065,-0.120286,0.383922
1755241472993454336,-0.00504706,0.528478,-0.192267,0.306362,0.590578,0.158434,0.72956,-0.241762,0.491575,-0.256794,0.0115321,-0.0364461,0.0209234,-0.0695071,-0.120287,0.383922
1755241473003454464,-0.00739079,0.533639,-0.194922,0.306399,0.595418,0.14498,0.728408,-0.227373,0.540173,-0.272942,0.0115265,-0.0364478,0.0209139,-0.0695086,-0.120289,0.383923
1755241473013454336,-0.00960793,0.539261,-0.197694,0.304047,0.600948,0.129622,0.727747,-0.216553,0.583003,-0.280297,0.0115202,-0.0364501,0.0209038,-0.0695113,-0.120293,0.383923
1755241473023454464,-0.0117404,0.545254,-0.200493,0.29947,0.607025,0.113562,0.727284,-0.210499,0.613639,-0.278486,0.0115135,-0.0364527,0.0208927,-0.0695155,-0.120298,0.383923
1755241473033454336,-0.0138322,0.551473,-0.203238,0.29341,0.613532,0.0986828,0.726464,-0.20826,0.628003,-0.269631,0.0115066,-0.0364553,0.0208791,-0.0695215,-0.120303,0.38392
1755241473043454464,-0.0159168,0.557754,-0.205865,0.285071,0.620843,0.0859563,0.72519,-0.208908,0.626172,-0.255137,0.0114991,-0.0364571,0.0208619,-0.0695295,-0.120311,0.383914
1755241473053454336,-0.0180166,0.563947,-0.208323,0.275399,0.628822,0.0750808,0.723257,-0.211268,0.610686,-0.235986,0.0114914,-0.0364583,0.0208412,-0.06954,-0.120319,0.383906
1755241473063454464,-0.0201529,0.56993,-0.210562,0.264744,0.637181,0.0659263,0.720809,-0.216206,0.584901,-0.211264,0.0114838,-0.0364588,0.0208178,-0.0695531,-0.120329,0.383894
